Common Name,Station Number,Station Description,Sample Years,Total Fish Count,Yearly Average,Waterway,x,y
black crappie,        46,North Branch Chicago River at Grand Avenue,"2001, 2011",2,1,North Branch Chicago River,-9756156.248665709,5144758.297382973
pumpkinseed,        46,North Branch Chicago River at Grand Avenue,"2001, 2002, 2003, 2004, 2006, 2007, 2008, 2009, 2011",37,4,North Branch Chicago River,-9756156.248665709,5144758.297382973
emerald shiner,        46,North Branch Chicago River at Grand Avenue,"2001, 2004, 2007, 2009, 2010, 2011",15,2,North Branch Chicago River,-9756156.248665709,5144758.297382973
bluegill,        46,North Branch Chicago River at Grand Avenue,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",39,3,North Branch Chicago River,-9756156.248665709,5144758.297382973
spotfin shiner,        46,North Branch Chicago River at Grand Avenue,"2004, 2006, 2007, 2009, 2010, 2011",70,11,North Branch Chicago River,-9756156.248665709,5144758.297382973
white crappie,        57,Little Calumet River at Ashland Avenue,2011,1,1,Little Calumet River,-9758345.734333793,5108959.791525536
golden shiner,        57,Little Calumet River at Ashland Avenue,"2007, 2011",4,2,Little Calumet River,-9758345.734333793,5108959.791525536
round goby,        57,Little Calumet River at Ashland Avenue,2011,2,2,Little Calumet River,-9758345.734333793,5108959.791525536
common carp,        96,North Branch Chicago River at Albany Avenue,"2003, 2005, 2006, 2007, 2008, 2011",10,1,North Branch Chicago River,-9764088.462110577,5156857.124687181
yellow bullhead,        49,Calumet River at Ewing Avenue,2011,1,1,Calumet River,-9745075.86152176,5120263.120285954
emerald shiner,        49,Calumet River at Ewing Avenue,"2007, 2011",2,1,Calumet River,-9745075.86152176,5120263.120285954
gizzard shad,        49,Calumet River at Ewing Avenue,"2003, 2007, 2011",3,1,Calumet River,-9745075.86152176,5120263.120285954
bluegill,        49,Calumet River at Ewing Avenue,2011,1,1,Calumet River,-9745075.86152176,5120263.120285954
rock bass,        49,Calumet River at Ewing Avenue,"2003, 2007, 2011",103,34,Calumet River,-9745075.86152176,5120263.120285954
smallmouth bass,        49,Calumet River at Ewing Avenue,"2003, 2007, 2011",112,37,Calumet River,-9745075.86152176,5120263.120285954
round goby,        49,Calumet River at Ewing Avenue,"2007, 2011",39,19,Calumet River,-9745075.86152176,5120263.120285954
golden shiner,        77,Higgins Creek at Elmhurst Road,2012,1,1,Higgins Creek,-9789503.463971145,5164194.269628853
white sucker,        77,Higgins Creek at Elmhurst Road,2012,3,3,Higgins Creek,-9789503.463971145,5164194.269628853
pumpkinseed,        64,West Branch DuPage River at Lake Street,"2009, 2012",2,1,West Branch Du Page River,-9810939.89297938,5157781.364521299
spotfin shiner,        64,West Branch DuPage River at Lake Street,"2001, 2002, 2005, 2006, 2008, 2009, 2012",40,5,West Branch Du Page River,-9810939.89297938,5157781.364521299
bluntnose minnow,        64,West Branch DuPage River at Lake Street,"2006, 2007, 2008, 2011, 2012",8,1,West Branch Du Page River,-9810939.89297938,5157781.364521299
yellow bullhead,        89,West Branch DuPage River at Walnut Lane,"2004, 2008, 2012",6,2,West Branch Du Page River,-9811290.549648687,5160344.011074602
green sunfish,        89,West Branch DuPage River at Walnut Lane,"2004, 2008, 2012",63,21,West Branch Du Page River,-9811290.549648687,5160344.011074602
bluegill,        89,West Branch DuPage River at Walnut Lane,"2008, 2012",5,2,West Branch Du Page River,-9811290.549648687,5160344.011074602
brown bullhead,        90,Poplar Creek at Route 19,2012,1,1,Poplar Creek,-9823047.74711789,5165577.94301833
green sunfish,        90,Poplar Creek at Route 19,"2004, 2008, 2012",28,9,Poplar Creek,-9823047.74711789,5165577.94301833
bluegill,        90,Poplar Creek at Route 19,"2008, 2012",4,2,Poplar Creek,-9823047.74711789,5165577.94301833
blackstripe topminnow,        90,Poplar Creek at Route 19,2012,11,11,Poplar Creek,-9823047.74711789,5165577.94301833
hornyhead chub,        90,Poplar Creek at Route 19,"2004, 2008, 2012",11,3,Poplar Creek,-9823047.74711789,5165577.94301833
bluegill,        12,Buffalo Creek at Lake-Cook Road,"2004, 2008, 2012",61,20,Buffalo Creek,-9792683.493154097,5183751.728609537
yellow bullhead,        12,Buffalo Creek at Lake-Cook Road,"2004, 2008, 2012",20,6,Buffalo Creek,-9792683.493154097,5183751.728609537
creek chub,        12,Buffalo Creek at Lake-Cook Road,"2008, 2012",15,7,Buffalo Creek,-9792683.493154097,5183751.728609537
green sunfish,        12,Buffalo Creek at Lake-Cook Road,"2004, 2008, 2012",68,22,Buffalo Creek,-9792683.493154097,5183751.728609537
largemouth bass,        12,Buffalo Creek at Lake-Cook Road,"2008, 2012",10,5,Buffalo Creek,-9792683.493154097,5183751.728609537
blackstripe topminnow,        12,Buffalo Creek at Lake-Cook Road,"2004, 2008, 2012",21,7,Buffalo Creek,-9792683.493154097,5183751.728609537
white sucker,        12,Buffalo Creek at Lake-Cook Road,"2008, 2012",4,2,Buffalo Creek,-9792683.493154097,5183751.728609537
black crappie,        12,Buffalo Creek at Lake-Cook Road,"2008, 2012",2,1,Buffalo Creek,-9792683.493154097,5183751.728609537
spotted sucker,        13,Des Plaines River at Lake-Cook Road,"2004, 2006, 2011, 2012",6,1,Des Plaines River,-9786103.272410415,5183885.200209065
green sunfish,        79,Salt Creek at Higgins Road,"2004, 2008, 2012",5,1,Salt Creek,-9797375.60963822,5165675.359292448
pumpkinseed,        79,Salt Creek at Higgins Road,"2004, 2008, 2012",24,8,Salt Creek,-9797375.60963822,5165675.359292448
yellow bullhead,        80,Salt Creek at Arlington Heights Road,2012,1,1,Salt Creek,-9796254.99295483,5162818.28541295
green sunfish,        80,Salt Creek at Arlington Heights Road,"2004, 2008, 2012",10,3,Salt Creek,-9796254.99295483,5162818.28541295
spotfin shiner,        80,Salt Creek at Arlington Heights Road,"2004, 2012",2,1,Salt Creek,-9796254.99295483,5162818.28541295
common carp,        80,Salt Creek at Arlington Heights Road,"2008, 2012",25,12,Salt Creek,-9796254.99295483,5162818.28541295
black crappie,        80,Salt Creek at Arlington Heights Road,"2008, 2012",4,2,Salt Creek,-9796254.99295483,5162818.28541295
walleye,        80,Salt Creek at Arlington Heights Road,"2008, 2012",10,5,Salt Creek,-9796254.99295483,5162818.28541295
white sucker,        80,Salt Creek at Arlington Heights Road,2012,1,1,Salt Creek,-9796254.99295483,5162818.28541295
largemouth bass,        80,Salt Creek at Arlington Heights Road,"2004, 2012",12,6,Salt Creek,-9796254.99295483,5162818.28541295
pumpkinseed,        80,Salt Creek at Arlington Heights Road,"2004, 2012",2,1,Salt Creek,-9796254.99295483,5162818.28541295
orangespotted sunfish,        80,Salt Creek at Arlington Heights Road,"2004, 2008, 2012",10,3,Salt Creek,-9796254.99295483,5162818.28541295
bluegill,        80,Salt Creek at Arlington Heights Road,"2004, 2008, 2012",156,52,Salt Creek,-9796254.99295483,5162818.28541295
spotted sucker,        19,Des Plaines River at Belmont Avenue,"2004, 2012",3,1,Des Plaines River,-9779371.53102385,5151588.097147647
rock bass,        19,Des Plaines River at Belmont Avenue,2012,1,1,Des Plaines River,-9779371.53102385,5151588.097147647
yellow bullhead,        19,Des Plaines River at Belmont Avenue,2012,3,3,Des Plaines River,-9779371.53102385,5151588.097147647
bluegill,        19,Des Plaines River at Belmont Avenue,2012,13,13,Des Plaines River,-9779371.53102385,5151588.097147647
orangespotted sunfish,        19,Des Plaines River at Belmont Avenue,2012,6,6,Des Plaines River,-9779371.53102385,5151588.097147647
bluntnose minnow,        19,Des Plaines River at Belmont Avenue,"2004, 2012",3,1,Des Plaines River,-9779371.53102385,5151588.097147647
rock bass,        17,Des Plaines River at Oakton Street,"2004, 2012",2,1,Des Plaines River,-9782189.77125312,5164756.208222484
warmouth,        17,Des Plaines River at Oakton Street,"2004, 2012",2,1,Des Plaines River,-9782189.77125312,5164756.208222484
green sunfish,        17,Des Plaines River at Oakton Street,"2004, 2008, 2012",23,7,Des Plaines River,-9782189.77125312,5164756.208222484
black crappie,        17,Des Plaines River at Oakton Street,"2004, 2008, 2012",8,2,Des Plaines River,-9782189.77125312,5164756.208222484
bluegill,        17,Des Plaines River at Oakton Street,"2004, 2008, 2012",10,3,Des Plaines River,-9782189.77125312,5164756.208222484
johnny darter,        17,Des Plaines River at Oakton Street,2012,2,2,Des Plaines River,-9782189.77125312,5164756.208222484
orangespotted sunfish,        17,Des Plaines River at Oakton Street,2012,18,18,Des Plaines River,-9782189.77125312,5164756.208222484
spottail shiner,        22,Des Plaines River at Ogden Avenue,"2001, 2009, 2012",43,14,Des Plaines River,-9775033.160497827,5134155.08934849
goldfish,        24,Salt Creek at Wolf Road,"2004, 2012",3,1,Salt Creek,-9785016.345950183,5134927.534095098
creek chub,        24,Salt Creek at Wolf Road,"2008, 2012",6,3,Salt Creek,-9785016.345950183,5134927.534095098
green sunfish,        24,Salt Creek at Wolf Road,"2008, 2012",9,4,Salt Creek,-9785016.345950183,5134927.534095098
orangespotted sunfish,        24,Salt Creek at Wolf Road,2012,1,1,Salt Creek,-9785016.345950183,5134927.534095098
spotfin shiner,        24,Salt Creek at Wolf Road,"2004, 2008, 2012",30,10,Salt Creek,-9785016.345950183,5134927.534095098
yellow bullhead,        24,Salt Creek at Wolf Road,"2004, 2008, 2012",6,2,Salt Creek,-9785016.345950183,5134927.534095098
oriental weatherfish,        23,Des Plaines River at Willow Springs Road,2012,1,1,Des Plaines River,-9782918.22214516,5121485.94585754
green sunfish,        23,Des Plaines River at Willow Springs Road,"2004, 2008, 2012",8,2,Des Plaines River,-9782918.22214516,5121485.94585754
common carp,        23,Des Plaines River at Willow Springs Road,"2004, 2008, 2012",17,5,Des Plaines River,-9782918.22214516,5121485.94585754
rock bass,        29,Des Plaines River at Stephen Street,2012,1,1,Des Plaines River,-9796385.089554068,5113414.579669373
yellow bullhead,        29,Des Plaines River at Stephen Street,"2004, 2008, 2012",4,1,Des Plaines River,-9796385.089554068,5113414.579669373
warmouth,        29,Des Plaines River at Stephen Street,2012,1,1,Des Plaines River,-9796385.089554068,5113414.579669373
golden shiner,        29,Des Plaines River at Stephen Street,"2008, 2012",25,12,Des Plaines River,-9796385.089554068,5113414.579669373
orangespotted sunfish,        29,Des Plaines River at Stephen Street,"2004, 2008, 2012",10,3,Des Plaines River,-9796385.089554068,5113414.579669373
green sunfish x orangespot,        92,Chicago Sanitary and Ship Canal at Lockport (16th Street),2012,1,1,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
largemouth bass,        46,North Branch Chicago River at Grand Avenue,"2001, 2002, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",65,5,North Branch Chicago River,-9756156.248665709,5144758.297382973
green sunfish,        46,North Branch Chicago River at Grand Avenue,"2001, 2003, 2004, 2005, 2007, 2010, 2011, 2012",18,2,North Branch Chicago River,-9756156.248665709,5144758.297382973
common carp,        46,North Branch Chicago River at Grand Avenue,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",117,9,North Branch Chicago River,-9756156.248665709,5144758.297382973
carp x goldfish,        55,Calumet River at 130th Street,"2004, 2012",2,1,Calumet River,-9748530.69045206,5110104.230203494
orangespotted sunfish,        55,Calumet River at 130th Street,2012,1,1,Calumet River,-9748530.69045206,5110104.230203494
yellow bullhead,        20,Des Plaines River at Roosevelt Road,2012,2,2,Des Plaines River,-9776892.815460142,5140724.864266957
spotted sucker,        20,Des Plaines River at Roosevelt Road,2012,1,1,Des Plaines River,-9776892.815460142,5140724.864266957
common carp,        20,Des Plaines River at Roosevelt Road,"2004, 2008, 2012",9,3,Des Plaines River,-9776892.815460142,5140724.864266957
goldfish,        20,Des Plaines River at Roosevelt Road,"2004, 2012",7,3,Des Plaines River,-9776892.815460142,5140724.864266957
green sunfish,        20,Des Plaines River at Roosevelt Road,"2004, 2012",5,2,Des Plaines River,-9776892.815460142,5140724.864266957
golden shiner,        20,Des Plaines River at Roosevelt Road,2012,12,12,Des Plaines River,-9776892.815460142,5140724.864266957
bluegill,        20,Des Plaines River at Roosevelt Road,2012,13,13,Des Plaines River,-9776892.815460142,5140724.864266957
common carp,        89,West Branch DuPage River at Walnut Lane,2012,4,4,West Branch Du Page River,-9811290.549648687,5160344.011074602
spottail shiner,        90,Poplar Creek at Route 19,2012,6,6,Poplar Creek,-9823047.74711789,5165577.94301833
johnny darter,        90,Poplar Creek at Route 19,"2008, 2012",3,1,Poplar Creek,-9823047.74711789,5165577.94301833
bluntnose minnow,        90,Poplar Creek at Route 19,"2004, 2008, 2012",11,3,Poplar Creek,-9823047.74711789,5165577.94301833
smallmouth bass,        90,Poplar Creek at Route 19,2012,53,53,Poplar Creek,-9823047.74711789,5165577.94301833
creek chub,        90,Poplar Creek at Route 19,"2004, 2008, 2012",104,34,Poplar Creek,-9823047.74711789,5165577.94301833
common carp,        91,Des Plaines River at Material Service Road,"2001, 2004, 2005, 2007, 2010, 2012",32,5,Des Plaines River,-9803757.593335949,5100729.017568359
spotfin shiner,        13,Des Plaines River at Lake-Cook Road,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",323,26,Des Plaines River,-9786103.272410415,5183885.200209065
sand shiner,        13,Des Plaines River at Lake-Cook Road,"2005, 2006, 2012",11,3,Des Plaines River,-9786103.272410415,5183885.200209065
golden shiner,        19,Des Plaines River at Belmont Avenue,2012,2,2,Des Plaines River,-9779371.53102385,5151588.097147647
spotfin shiner,        19,Des Plaines River at Belmont Avenue,"2004, 2012",4,2,Des Plaines River,-9779371.53102385,5151588.097147647
hornyhead chub,        19,Des Plaines River at Belmont Avenue,2012,4,4,Des Plaines River,-9779371.53102385,5151588.097147647
bluntnose minnow,        17,Des Plaines River at Oakton Street,"2004, 2012",3,1,Des Plaines River,-9782189.77125312,5164756.208222484
gizzard shad,        22,Des Plaines River at Ogden Avenue,"2001, 2004, 2010, 2012",7,1,Des Plaines River,-9775033.160497827,5134155.08934849
spotfin shiner,       109,Salt Creek at Brookfield Avenue,"2008, 2012",2,1,Salt Creek,-9778479.118246686,5134478.740255858
blackstripe topminnow,       109,Salt Creek at Brookfield Avenue,2012,1,1,Salt Creek,-9778479.118246686,5134478.740255858
tadpole madtom,       109,Salt Creek at Brookfield Avenue,2012,1,1,Salt Creek,-9778479.118246686,5134478.740255858
sand shiner,       109,Salt Creek at Brookfield Avenue,"2004, 2008, 2012",24,8,Salt Creek,-9778479.118246686,5134478.740255858
bluntnose minnow,        24,Salt Creek at Wolf Road,"2008, 2012",29,14,Salt Creek,-9785016.345950183,5134927.534095098
blackstripe topminnow,        24,Salt Creek at Wolf Road,"2008, 2012",11,5,Salt Creek,-9785016.345950183,5134927.534095098
mosquitofish,        23,Des Plaines River at Willow Springs Road,2012,3,3,Des Plaines River,-9782918.22214516,5121485.94585754
green sunfish,        29,Des Plaines River at Stephen Street,"2004, 2008, 2012",84,28,Des Plaines River,-9796385.089554068,5113414.579669373
common carp,        29,Des Plaines River at Stephen Street,"2008, 2012",3,1,Des Plaines River,-9796385.089554068,5113414.579669373
emerald shiner,        29,Des Plaines River at Stephen Street,2012,1,1,Des Plaines River,-9796385.089554068,5113414.579669373
blackstripe topminnow,        29,Des Plaines River at Stephen Street,"2004, 2008, 2012",150,50,Des Plaines River,-9796385.089554068,5113414.579669373
bluegill,        29,Des Plaines River at Stephen Street,"2008, 2012",40,20,Des Plaines River,-9796385.089554068,5113414.579669373
bluntnose minnow,        29,Des Plaines River at Stephen Street,"2004, 2008, 2012",57,19,Des Plaines River,-9796385.089554068,5113414.579669373
mosquitofish,        29,Des Plaines River at Stephen Street,"2008, 2012",36,18,Des Plaines River,-9796385.089554068,5113414.579669373
spotfin shiner,        29,Des Plaines River at Stephen Street,"2004, 2008, 2012",57,19,Des Plaines River,-9796385.089554068,5113414.579669373
golden shiner,        46,North Branch Chicago River at Grand Avenue,"2001, 2004, 2006, 2007, 2009, 2010, 2011, 2012",42,5,North Branch Chicago River,-9756156.248665709,5144758.297382973
gizzard shad,        46,North Branch Chicago River at Grand Avenue,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",1050,87,North Branch Chicago River,-9756156.248665709,5144758.297382973
tadpole madtom,        20,Des Plaines River at Roosevelt Road,2012,1,1,Des Plaines River,-9776892.815460142,5140724.864266957
spotfin shiner,        20,Des Plaines River at Roosevelt Road,"2004, 2012",2,1,Des Plaines River,-9776892.815460142,5140724.864266957
bluntnose minnow,        20,Des Plaines River at Roosevelt Road,2012,3,3,Des Plaines River,-9776892.815460142,5140724.864266957
blackstripe topminnow,        20,Des Plaines River at Roosevelt Road,"2008, 2012",8,4,Des Plaines River,-9776892.815460142,5140724.864266957
flathead catfish,        41,Chicago Sanitary and Ship Canal at Harlem Avenue,2013,1,1,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
central mudminnow,        96,North Branch Chicago River at Albany Avenue,"2009, 2010, 2011, 2013",21,5,North Branch Chicago River,-9764088.462110577,5156857.124687181
white crappie,        36,North Shore Channel at Touhy Avenue,"2008, 2013",2,1,North Shore Channel,-9763880.193364626,5162772.158302309
banded killifish,        48,Chicago Sanitary and Ship Canal at Stephen Street,2013,2,2,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
pumpkinseed,        48,Chicago Sanitary and Ship Canal at Stephen Street,2013,3,3,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
green sunfish,        48,Chicago Sanitary and Ship Canal at Stephen Street,2013,3,3,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
bluegill,        48,Chicago Sanitary and Ship Canal at Stephen Street,"2010, 2013",5,2,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
gizzard shad,        48,Chicago Sanitary and Ship Canal at Stephen Street,"2002, 2006, 2010, 2013",215,53,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
round goby,        48,Chicago Sanitary and Ship Canal at Stephen Street,2013,1,1,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
channel catfish,        92,Chicago Sanitary and Ship Canal at Lockport (16th Street),"2002, 2003, 2004, 2005, 2006, 2008, 2009, 2013",13,1,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
bluegill,        99,Bubbly Creek at Archer Avenue,"2006, 2013",7,3,Bubbly Creek,-9758696.948071491,5136817.240627698
gizzard shad,        99,Bubbly Creek at Archer Avenue,"2002, 2006, 2010, 2013",169,42,Bubbly Creek,-9758696.948071491,5136817.240627698
central mudminnow,        86,Grand Calumet River at Burnham Avenue,2014,2,2,Grand Calumet River,-9744810.951107476,5105915.20396417
creek chub,        57,Little Calumet River at Ashland Avenue,2014,1,1,Little Calumet River,-9758345.734333793,5108959.791525536
fathead minnow,        57,Little Calumet River at Ashland Avenue,"2007, 2014",3,1,Little Calumet River,-9758345.734333793,5108959.791525536
spottail shiner,        56,Little Calumet River at Indiana Avenue,2014,2,2,Little Calumet River,-9753472.181457821,5108772.571885121
white sucker,        56,Little Calumet River at Indiana Avenue,2014,1,1,Little Calumet River,-9753472.181457821,5108772.571885121
white perch,        59,Calumet-Sag Channel at Cicero Avenue,"2002, 2003, 2005, 2006, 2007, 2009, 2010, 2014",17,2,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
yellow bass,        76,Little Calumet River at Halsted Street,"2001, 2002, 2004, 2005, 2006, 2010, 2012, 2014",22,2,Little Calumet River,-9756147.689317683,5109826.122291395
carp x goldfish,        76,Little Calumet River at Halsted Street,"2010, 2011, 2014",4,1,Little Calumet River,-9756147.689317683,5109826.122291395
channel catfish,        43,Calumet-Sag Channel at Route 83,2014,2,2,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
emerald shiner,        57,Little Calumet River at Ashland Avenue,"2007, 2014",6,3,Little Calumet River,-9758345.734333793,5108959.791525536
green sunfish x bluegill,        76,Little Calumet River at Halsted Street,2014,1,1,Little Calumet River,-9756147.689317683,5109826.122291395
northern pike,       109,Salt Creek at Brookfield Avenue,2015,1,1,Salt Creek,-9778479.118246686,5134478.740255858
green sunfish,       109,Salt Creek at Brookfield Avenue,"2004, 2015",4,2,Salt Creek,-9778479.118246686,5134478.740255858
yellow bullhead,       109,Salt Creek at Brookfield Avenue,"2004, 2008, 2012, 2015",11,2,Salt Creek,-9778479.118246686,5134478.740255858
black crappie,        22,Des Plaines River at Ogden Avenue,"2002, 2004, 2007, 2015",5,1,Des Plaines River,-9775033.160497827,5134155.08934849
bluegill,       110,West Branch DuPage River at Springinsguth Road,"2008, 2015",4,2,West Branch Du Page River,-9809372.143319122,5162219.006850576
golden shiner,        64,West Branch DuPage River at Lake Street,"2001, 2006, 2015",4,1,West Branch Du Page River,-9810939.89297938,5157781.364521299
fathead minnow,        64,West Branch DuPage River at Lake Street,"2004, 2009, 2015",5,1,West Branch Du Page River,-9810939.89297938,5157781.364521299
green sunfish,        19,Des Plaines River at Belmont Avenue,"2004, 2008, 2012, 2015",55,13,Des Plaines River,-9779371.53102385,5151588.097147647
blackstripe topminnow,        19,Des Plaines River at Belmont Avenue,"2004, 2012, 2015",7,2,Des Plaines River,-9779371.53102385,5151588.097147647
common carp,        19,Des Plaines River at Belmont Avenue,"2008, 2015",3,1,Des Plaines River,-9779371.53102385,5151588.097147647
black crappie,        23,Des Plaines River at Willow Springs Road,"2004, 2008, 2012, 2015",4,1,Des Plaines River,-9782918.22214516,5121485.94585754
golden shiner,        23,Des Plaines River at Willow Springs Road,2015,2,2,Des Plaines River,-9782918.22214516,5121485.94585754
largemouth bass,        23,Des Plaines River at Willow Springs Road,"2004, 2008, 2015",6,2,Des Plaines River,-9782918.22214516,5121485.94585754
bluegill,        23,Des Plaines River at Willow Springs Road,"2004, 2008, 2012, 2015",14,3,Des Plaines River,-9782918.22214516,5121485.94585754
johnny darter,        78,Higgins Creek at Wille Road,"2005, 2006, 2007, 2015",16,4,Higgins Creek,-9789066.534741784,5163778.873133089
walleye,        79,Salt Creek at Higgins Road,"2004, 2015",10,5,Salt Creek,-9797375.60963822,5165675.359292448
black crappie,        79,Salt Creek at Higgins Road,"2004, 2008, 2012, 2015",12,3,Salt Creek,-9797375.60963822,5165675.359292448
largemouth bass,        79,Salt Creek at Higgins Road,"2004, 2008, 2012, 2015",19,4,Salt Creek,-9797375.60963822,5165675.359292448
yellow bullhead,        79,Salt Creek at Higgins Road,2015,2,2,Salt Creek,-9797375.60963822,5165675.359292448
bluegill,        79,Salt Creek at Higgins Road,"2004, 2008, 2012, 2015",150,37,Salt Creek,-9797375.60963822,5165675.359292448
common carp,        79,Salt Creek at Higgins Road,"2004, 2008, 2015",16,5,Salt Creek,-9797375.60963822,5165675.359292448
emerald shiner,       109,Salt Creek at Brookfield Avenue,2015,6,6,Salt Creek,-9778479.118246686,5134478.740255858
fathead minnow,       109,Salt Creek at Brookfield Avenue,"2008, 2015",5,2,Salt Creek,-9778479.118246686,5134478.740255858
common carp,       109,Salt Creek at Brookfield Avenue,"2004, 2015",3,1,Salt Creek,-9778479.118246686,5134478.740255858
round goby,       109,Salt Creek at Brookfield Avenue,2015,1,1,Salt Creek,-9778479.118246686,5134478.740255858
creek chub,       109,Salt Creek at Brookfield Avenue,"2004, 2008, 2012, 2015",24,6,Salt Creek,-9778479.118246686,5134478.740255858
central stoneroller,       109,Salt Creek at Brookfield Avenue,2015,1,1,Salt Creek,-9778479.118246686,5134478.740255858
hornyhead chub,       109,Salt Creek at Brookfield Avenue,"2008, 2012, 2015",10,3,Salt Creek,-9778479.118246686,5134478.740255858
johnny darter,       109,Salt Creek at Brookfield Avenue,"2008, 2012, 2015",14,4,Salt Creek,-9778479.118246686,5134478.740255858
white sucker,       109,Salt Creek at Brookfield Avenue,"2004, 2012, 2015",13,4,Salt Creek,-9778479.118246686,5134478.740255858
bluegill,       109,Salt Creek at Brookfield Avenue,"2004, 2008, 2015",7,2,Salt Creek,-9778479.118246686,5134478.740255858
bluntnose minnow,       109,Salt Creek at Brookfield Avenue,"2004, 2008, 2012, 2015",12,3,Salt Creek,-9778479.118246686,5134478.740255858
round goby,        23,Des Plaines River at Willow Springs Road,2015,1,1,Des Plaines River,-9782918.22214516,5121485.94585754
largemouth bass,       110,West Branch DuPage River at Springinsguth Road,2015,4,4,West Branch Du Page River,-9809372.143319122,5162219.006850576
bluntnose minnow,       110,West Branch DuPage River at Springinsguth Road,2015,1,1,West Branch Du Page River,-9809372.143319122,5162219.006850576
blackstripe topminnow,        79,Salt Creek at Higgins Road,"2012, 2015",136,68,Salt Creek,-9797375.60963822,5165675.359292448
central mudminnow,        57,Little Calumet River at Ashland Avenue,"2014, 2016",2,1,Little Calumet River,-9758345.734333793,5108959.791525536
black bullhead,        64,West Branch DuPage River at Lake Street,"2011, 2015, 2016",3,1,West Branch Du Page River,-9810939.89297938,5157781.364521299
creek chub,        64,West Branch DuPage River at Lake Street,"2004, 2005, 2016",3,1,West Branch Du Page River,-9810939.89297938,5157781.364521299
banded killifish,        18,Salt Creek at Devon Avenue,2016,2,2,Salt Creek,-9795587.075606022,5159923.790866642
orangespotted sunfish,        56,Little Calumet River at Indiana Avenue,2016,1,1,Little Calumet River,-9753472.181457821,5108772.571885121
black crappie,        56,Little Calumet River at Indiana Avenue,"2003, 2014, 2016",9,3,Little Calumet River,-9753472.181457821,5108772.571885121
central mudminnow,        76,Little Calumet River at Halsted Street,"2007, 2010, 2011, 2014, 2016",9,1,Little Calumet River,-9756147.689317683,5109826.122291395
fathead minnow,        22,Des Plaines River at Ogden Avenue,"2001, 2007, 2016",6,2,Des Plaines River,-9775033.160497827,5134155.08934849
tadpole madtom,        22,Des Plaines River at Ogden Avenue,"2008, 2016",2,1,Des Plaines River,-9775033.160497827,5134155.08934849
goldfish,        75,Chicago Sanitary and Ship Canal at Cicero Avenue,"2001, 2002, 2003, 2004, 2006, 2008, 2009, 2010, 2011, 2016",37,3,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
carp x goldfish,        59,Calumet-Sag Channel at Cicero Avenue,2016,1,1,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
yellow bass,        59,Calumet-Sag Channel at Cicero Avenue,"2004, 2005, 2006, 2014, 2016",12,2,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
carp x goldfish,        73,North Branch Chicago River at Diversey Parkway,"2001, 2005, 2016",3,1,North Branch Chicago River,-9760793.273420712,5150867.342273781
green sunfish x bluegill,        73,North Branch Chicago River at Diversey Parkway,2016,1,1,North Branch Chicago River,-9760793.273420712,5150867.342273781
black buffalo,        55,Calumet River at 130th Street,"2003, 2005, 2006, 2007, 2009, 2010, 2012, 2016",26,3,Calumet River,-9748530.69045206,5110104.230203494
green sunfish x pumpkinseed,        55,Calumet River at 130th Street,2016,1,1,Calumet River,-9748530.69045206,5110104.230203494
rock bass,        36,North Shore Channel at Touhy Avenue,"2002, 2004, 2005, 2006, 2007, 2008, 2016",13,1,North Shore Channel,-9763880.193364626,5162772.158302309
spotfin shiner,        22,Des Plaines River at Ogden Avenue,"2001, 2003, 2004, 2006, 2009, 2010, 2011, 2012, 2016",51,5,Des Plaines River,-9775033.160497827,5134155.08934849
spottail shiner,        75,Chicago Sanitary and Ship Canal at Cicero Avenue,2016,2,2,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
black crappie,        76,Little Calumet River at Halsted Street,"2004, 2005, 2006, 2007, 2010, 2012, 2014, 2016",19,2,Little Calumet River,-9756147.689317683,5109826.122291395
white perch,        76,Little Calumet River at Halsted Street,"2001, 2002, 2003, 2004, 2005, 2006, 2014, 2016",73,9,Little Calumet River,-9756147.689317683,5109826.122291395
spotfin shiner,        55,Calumet River at 130th Street,"2007, 2010, 2011, 2012, 2016",16,3,Calumet River,-9748530.69045206,5110104.230203494
